max_evaluations,model_id,case_id,scenario_family,zone,instance_seed,solver_seed,solver_repeat,model,run_key,physical_instance_hash,solution_id,planning_model,planning_model_fingerprint,execution_model,execution_model_fingerprint,algorithm,decision_hash,planning_F1,planning_F2,planning_F3,replay_F1,replay_F2,replay_F3,replay_minus_planning_F1,replay_minus_planning_F2,replay_minus_planning_F3,replay_final_total_satisfaction,replay_final_min_satisfaction,replay_zero_service_ratio,replay_remaining_supply,representative_selected_before_replay,identity_checked,replay_success,replay_error,planning_self_replay_max_abs_error
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0016,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,ebbf16f63e800fe0,2.642210757826171,123565.0,-0.06267922982624441,2.576679001477003,129808.33333333334,-0.0,-0.06553175634916819,6243.333333333343,0.06267922982624441,0.7973068745570434,0.0,0.17142857142857143,9.367795428261161e-11,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0017,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,9b8e5b47ebe2dbf3,2.5594339242448028,125079.0,-0.06267922982624441,2.479911631107121,127390.33333333333,-0.0,-0.07952229313768155,2311.3333333333285,0.06267922982624441,0.7973068745570434,0.0,0.17142857142857143,9.367795428261161e-11,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0018,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,5d15237e1aa77f92,2.7070870020914803,96094.0,-0.05998356614873046,2.566376532738068,169809.6666666667,-0.05998356614873046,-0.14071046935341247,73715.66666666669,0.0,0.7973068745570517,0.05998356614873046,0.0,0.0,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0019,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,97fd843d04c5a4a0,2.684645201481664,96806.0,-0.05998356614873046,2.5969414452804678,103753.0,-0.05998356614873046,-0.08770375620119619,6947.0,0.0,0.7973068745570517,0.05998356614873046,0.0,0.0,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0020,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,586befea503409f1,2.760123585606329,95758.0,-0.05998356614873046,2.577172855877801,163635.0,-0.05998356614691147,-0.18295072972852777,67877.0,1.8189894035458565e-12,0.7973068745569772,0.05998356614691147,0.0,8.403731044381857e-10,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0021,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,b0d1129e2b0ccaf2,2.5992123905964517,112117.0,-0.044676409188468824,2.5471726915208928,131415.0,-0.044676409186649835,-0.05203969907555894,19298.0,1.8189894035458565e-12,0.7973068745570517,0.044676409186649835,0.0,0.0,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0022,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,1a7f27658c10fc11,2.474876709485531,136490.0,-0.044676409188468824,2.467157472222646,138331.33333333334,-0.0,-0.007719237262884704,1841.333333333343,0.044676409188468824,0.7973068745570517,0.0,0.11428571428571428,0.0,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0023,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,0e764fa044faff56,2.49260244543295,101608.0,-0.0,2.4641967396387496,136597.6666666667,-0.0,-0.02840570579420021,34989.666666666686,0.0,0.7973068745570517,0.0,0.08571428571428572,0.0,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0024,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,e338d6821b581a22,2.497411988272612,101285.0,-0.0,2.466517463746529,121940.33333333334,-0.0,-0.03089452452608299,20655.333333333343,0.0,0.7973068745570517,0.0,0.08571428571428572,0.0,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0025,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,95131642e1b621b2,2.4693919564180877,102964.0,-0.0,2.4646888205065256,122862.66666666669,-0.0,-0.0047031359115621285,19898.666666666686,0.0,0.7973068745570517,0.0,0.08571428571428572,0.0,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0026,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,dbceb56e1d67cd67,2.463633628990012,105834.0,-0.0,2.4646888205065256,124789.00000000001,-0.0,0.001055191516513787,18955.000000000015,0.0,0.7973068745570517,0.0,0.05714285714285714,0.0,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0027,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,52573b9eb4914e84,2.4595950978945553,128676.0,-0.0,2.460869302565837,129014.0,-0.0,0.001274204671281698,338.0,0.0,0.7973068745570517,0.0,0.08571428571428572,0.0,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0028,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,33886f1b1aa46f1a,2.6184363452387585,93825.0,-0.0,2.4997399376904985,150001.33333333337,-0.0,-0.11869640754825994,56176.33333333337,0.0,0.7973068745570517,0.0,0.08571428571428572,0.0,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0029,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,4082d07f6c6aeec9,2.4609239426851235,108072.0,-0.0,2.4641011541628393,113961.33333333333,-0.0,0.003177211477715769,5889.3333333333285,0.0,0.7973068745570517,0.0,0.17142857142857143,0.0,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0030,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,cde2489b5d4cebd6,2.5391219926928605,93992.0,-0.0,2.4725783805571417,137308.16666666666,-0.0,-0.0665436121357188,43316.16666666666,0.0,0.7973068745570517,0.0,0.14285714285714285,0.0,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0031,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,327da1850d49131d,2.684967174437272,86312.0,-0.0,2.5510674020712862,127942.33333333334,-0.0,-0.13389977236598583,41630.33333333334,0.0,0.7973068745569796,0.0,0.05714285714285714,8.149072527885437e-10,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0032,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,ed0c9f7b8bc2e79c,2.9615764559098183,78405.0,-0.0,2.6497670820601793,153214.83333333334,-0.0,-0.311809373849639,74809.83333333334,0.0,0.7973068745569837,0.0,0.11428571428571428,7.667040335945785e-10,False,False,True,,0.0
500,PR0_HT1_EC1,WEN38,benchmark,original,1,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0033,v2,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,bdae7e7613e727cb,2.8979690852508204,82071.0,-0.0,2.604864210965257,168093.33333333334,-0.0,-0.29310487428556353,86022.33333333334,0.0,0.7973068745570356,0.0,0.05714285714285714,1.8189894035458565e-10,False,False,True,,0.0
500,PR1_HT0_EC1,WEN38,benchmark,original,1,60000,0,No-HT,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0001,v2,716feb78a89b882a20ab8d73b90dc7f2cce92e24a8065d5faecffada3f9967e4,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,823b3154a1b29d06,2.464202792774178,125195.66666666667,-0.45048160039550567,2.462430999719607,143920.33333333334,-0.445542109163398,-0.0017717930545710914,18724.66666666667,0.0049394912321076845,0.7973068745570517,0.445542109163398,0.0,0.0,True,False,True,,0.0
500,PR1_HT0_EC1,WEN38,benchmark,original,1,60000,0,No-HT,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0002,v2,716feb78a89b882a20ab8d73b90dc7f2cce92e24a8065d5faecffada3f9967e4,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,0eaffc912ec56fc0,2.7847801275321826,119200.33333333333,-0.4140845070432988,2.7847801275321826,148796.33333333334,-0.027700831024930747,0.0,29596.000000000015,0.38638367601836804,0.7973068745570517,0.027700831024930747,0.0,0.0,False,False,True,,0.0
500,PR1_HT0_EC1,WEN38,benchmark,original,1,60000,0,No-HT,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0003,v2,716feb78a89b882a20ab8d73b90dc7f2cce92e24a8065d5faecffada3f9967e4,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,65f379b8eb4cbc59,2.8545001842294964,114054.0,-0.40057636887740955,2.8545001842294964,126028.66666666667,-0.40057636887740955,0.0,11974.666666666672,0.0,0.7973068745570517,0.40057636887740955,0.0,0.0,False,False,True,,0.0
500,PR1_HT0_EC1,WEN38,benchmark,original,1,60000,0,No-HT,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0004,v2,716feb78a89b882a20ab8d73b90dc7f2cce92e24a8065d5faecffada3f9967e4,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,13bd992ff5871c64,2.8679058402596476,97689.33333333333,-0.39582783205878513,2.8679058402596476,129794.0,-0.39582783205878513,0.0,32104.66666666667,0.0,0.7973068745570336,0.39582783205878513,0.0,2.02817318495363e-10,False,False,True,,0.0
500,PR1_HT0_EC1,WEN38,benchmark,original,1,60000,0,No-HT,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,p0005,v2,716feb78a89b882a20ab8d73b90dc7f2cce92e24a8065d5faecffada3f9967e4,full,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,nsga2,8473f1bbc18e0689,2.769935102309254,118348.16666666667,-0.34591194968743366,2.769935102309254,120883.5,-0.34591194968743366,0.0,2535.3333333333285,0.0,0.7973068745570125,0.34591194968743366,0.0,4.420144250616431e-10,False,False,True,,0.0
